         1285522 function calls (1208653 primitive calls) in 1.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.037    0.037 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\cffi_utils.py:2(<module>)
       50    0.001    0.000    0.037    0.001 <frozen importlib._bootstrap_external>:909(get_code)
       11    0.000    0.000    0.036    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ssa.py:26(reconstruct_ssa)
       11    0.000    0.000    0.036    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ssa.py:36(_run_ssa)
       25    0.000    0.000    0.034    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:778(lower_call)
     3346    0.007    0.000    0.034    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:212(__init__)
       83    0.001    0.000    0.034    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\module.py:11(parse_assembly)
1166/1044    0.001    0.000    0.033    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir_utils.py:1443(guard)
       25    0.000    0.000    0.031    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1022(_lower_call_normal)
       11    0.000    0.000    0.031    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:729(run_pass)
      121    0.014    0.000    0.031    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\analysis.py:118(compute_dead_maps)
       84    0.001    0.000    0.030    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\rewrites\macros.py:44(match)
  942/940    0.004    0.000    0.030    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\types\abstract.py:59(__call__)
      164    0.000    0.000    0.029    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:1454(infer_constant)
  201/164    0.001    0.000    0.029    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\consts.py:24(infer_constant)
       11    0.002    0.000    0.029    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\byteflow.py:78(run)
        1    0.000    0.000    0.029    0.029 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\cffi\api.py:41(__init__)
      313    0.002    0.000    0.029    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\errors.py:473(__init__)
  114/102    0.000    0.000    0.029    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\consts.py:56(_do_infer)
3278/2634    0.006    0.000    0.028    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:503(can_convert)
     3518    0.006    0.000    0.027    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:232(_set_name)
       24    0.000    0.000    0.027    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:401(_load_builtins)
       92    0.002    0.000    0.027    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:111(strformat)
       11    0.000    0.000    0.027    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:118(run_pass)
2377/2086    0.003    0.000    0.027    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\contextlib.py:108(__enter__)
        1    0.001    0.001    0.027    0.027 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\np\arraymath.py:1(<module>)
      137    0.000    0.000    0.027    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\errors.py:641(__init__)
       11    0.000    0.000    0.026    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:246(run_pass)
      239    0.026    0.000    0.026    0.000 {built-in method nt.stat}
      240    0.004    0.000    0.026    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:414(install_registry)
      240    0.002    0.000    0.026    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\cgutils.py:362(alloca_once)
       11    0.000    0.000    0.026    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:211(add_llvm_module)
       11    0.000    0.000    0.026    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\transforms.py:317(with_lifting)
      121    0.001    0.000    0.026    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:45(livemap)
       55    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      309    0.001    0.000    0.025    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\controlflow.py:486(_find_dominators)
      121    0.001    0.000    0.025    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\analysis.py:60(compute_live_map)
        1    0.000    0.000    0.024    0.024 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\cffi\cparser.py:1(<module>)
       53    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
       53    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      242    0.001    0.000    0.024    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\analysis.py:71(fix_point)
      138    0.000    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:97(_get_path)
       73    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
